Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-09-29,330.0,333.9,295.15,295.85,297.55,89058658.0,279662.98
2016-09-30,297.4,312.4,293.05,309.2,310.25,12045593.0,36799.08
2016-10-03,312.9,313.75,307.3,308.35,309.7,3169557.0,9833.56
2016-10-04,308.95,309.55,303.5,303.9,304.25,3173993.0,9701.12
2016-10-05,305.0,315.0,304.1,314.0,313.75,5485589.0,17043.46
2016-10-06,314.85,322.8,314.0,317.25,316.55,5753209.0,18356.38
2016-10-07,318.0,319.7,315.45,317.5,317.25,1009789.0,3205.98
2016-10-10,319.1,326.95,318.1,324.5,324.6,3482805.0,11293.17
2016-10-13,322.0,328.7,315.75,317.05,317.55,3088238.0,9909.12
2016-10-14,319.7,328.75,319.15,326.95,327.35,2771778.0,9014.36
2016-10-17,328.0,331.7,324.2,326.9,327.6,2153353.0,7073.34
2016-10-18,329.2,333.0,328.45,330.95,330.9,2774228.0,9196.31
2016-10-19,331.6,332.45,324.0,325.0,324.9,1227049.0,4031.51
2016-10-20,325.9,329.4,322.55,323.7,324.0,946203.0,3088.08
2016-10-21,324.85,329.4,323.05,326.85,326.85,1122150.0,3665.05
2016-10-24,327.85,329.85,323.1,323.65,323.9,684940.0,2230.01
2016-10-25,324.4,328.0,323.15,323.5,324.15,964425.0,3140.83
2016-10-26,323.95,325.4,319.3,319.95,320.4,940792.0,3026.42
2016-10-27,320.05,320.05,312.3,312.75,314.1,1243528.0,3917.07
2016-10-28,313.0,314.35,307.0,307.35,308.6,1188812.0,3693.74
2016-10-30,310.0,314.1,310.0,312.1,312.9,287393.0,898.72
2016-11-01,312.9,315.45,310.05,310.6,311.3,1028849.0,3225.46
2016-11-02,310.0,310.6,305.05,305.5,305.75,881783.0,2710.8
2016-11-03,305.05,307.8,301.6,304.0,304.05,1243070.0,3785.41
2016-11-04,304.95,305.95,302.5,303.5,303.4,1157870.0,3518.77
2016-11-07,305.8,307.9,302.65,303.55,304.9,1228091.0,3739.84
2016-11-08,306.0,306.95,302.7,303.65,303.5,412371.0,1254.88
2016-11-09,290.0,300.75,271.0,297.95,298.05,2590826.0,7615.11
2016-11-10,302.95,314.9,301.0,312.7,313.7,2123137.0,6571.94
2016-11-11,309.7,309.7,302.55,304.85,304.85,1313176.0,4018.25
2016-11-15,304.85,305.0,295.0,296.0,297.2,1591246.0,4727.84
2016-11-16,303.0,304.25,298.0,298.1,299.3,1270188.0,3815.88
2016-11-17,300.0,302.5,293.0,293.55,293.5,1051062.0,3118.88
2016-11-18,294.75,295.6,284.5,285.9,285.45,899512.0,2608.25
2016-11-21,288.0,288.0,282.2,285.5,284.15,1285263.0,3667.38
2016-11-22,285.4,290.9,281.2,290.1,289.05,1209797.0,3446.71
2016-11-23,290.0,297.0,288.3,294.5,294.9,504169.0,1476.1
2016-11-24,295.1,296.0,291.3,295.7,295.05,378291.0,1111.6
2016-11-25,296.0,307.9,295.5,301.7,303.55,827475.0,2499.39
2016-11-28,303.9,309.0,303.1,308.5,308.3,545827.0,1673.43
2016-11-29,308.9,314.9,308.2,313.7,314.1,923896.0,2886.44
2016-11-30,314.95,314.95,308.25,309.0,309.75,527033.0,1635.06
2016-12-01,309.1,310.0,303.35,304.05,304.05,398945.0,1216.36
2016-12-02,303.1,303.15,298.05,298.3,298.65,530891.0,1588.72
2016-12-05,298.0,298.55,292.6,293.1,293.5,2962323.0,8696.38
2016-12-06,293.5,296.9,292.25,293.5,293.5,286857.0,843.63
2016-12-07,294.5,295.5,292.0,293.0,292.65,287566.0,843.58
2016-12-08,293.75,298.45,293.55,298.0,297.05,384455.0,1139.78
2016-12-09,297.7,299.55,293.55,294.95,294.95,490921.0,1453.66
2016-12-12,295.0,300.3,294.5,297.55,298.9,1858187.0,5504.3
2016-12-13,298.8,298.9,295.45,298.1,298.15,448043.0,1329.85
2016-12-14,296.7,302.3,296.0,297.35,297.2,828122.0,2465.39
2016-12-15,296.0,311.9,295.0,310.85,310.65,2601377.0,8011.2
2016-12-16,309.95,312.0,305.7,310.05,310.55,1466142.0,4538.27
2016-12-19,310.0,317.95,308.0,314.55,315.5,3045917.0,9566.07
2016-12-20,313.8,319.9,312.5,317.55,318.25,1832659.0,5815.83
2016-12-21,318.7,319.95,314.0,314.95,316.2,717254.0,2268.82
2016-12-22,317.0,317.0,305.1,306.8,307.15,467785.0,1446.32
2016-12-23,304.1,306.95,300.0,300.3,300.65,461339.0,1395.65
2016-12-26,299.0,300.5,294.55,295.0,295.05,483325.0,1434.8
2016-12-27,294.15,297.5,294.1,295.3,295.45,403888.0,1194.53
2016-12-28,299.75,299.75,294.55,294.55,295.1,490137.0,1455.15
2016-12-29,295.3,301.7,295.3,300.0,300.1,463260.0,1385.32
2016-12-30,300.95,306.0,300.1,301.0,302.25,515022.0,1562.38
2017-01-02,301.2,307.9,301.2,307.7,307.1,336913.0,1030.47
2017-01-03,308.6,313.75,308.0,313.65,313.05,675149.0,2103.04
2017-01-04,314.65,321.0,313.5,320.1,319.7,1583760.0,5043.25
2017-01-05,320.95,328.7,320.3,326.9,326.75,1993192.0,6491.65
2017-01-06,327.95,338.0,326.65,330.8,331.0,4655888.0,15486.21
2017-01-09,331.0,333.25,326.1,329.0,329.05,787856.0,2595.63
2017-01-10,330.0,336.5,329.4,335.35,335.55,1660190.0,5551.41
2017-01-11,337.0,338.7,334.25,337.15,337.8,1609150.0,5418.56
2017-01-12,337.8,338.25,330.65,333.25,334.55,537489.0,1798.09
2017-01-13,334.6,336.4,330.95,332.1,331.9,360639.0,1200.31
2017-01-16,330.1,334.0,330.0,330.4,331.15,495389.0,1643.62
2017-01-17,332.0,335.65,330.1,331.0,331.7,548693.0,1826.54
2017-01-18,334.85,343.0,332.7,339.0,340.0,3153477.0,10683.52
2017-01-19,340.8,351.5,339.25,348.05,349.75,5040128.0,17525.02
2017-01-20,347.7,362.0,346.6,359.1,359.4,5356347.0,19169.5
2017-01-23,360.0,362.35,356.2,358.6,361.15,2539069.0,9145.18
2017-01-24,360.0,363.5,356.15,357.8,359.75,2132140.0,7681.33
2017-01-25,357.55,359.35,351.55,353.75,353.85,1595576.0,5646.56
2017-01-27,354.0,356.35,352.5,353.0,353.9,1172267.0,4153.36
2017-01-30,354.0,355.95,348.1,349.0,351.3,812733.0,2875.58
2017-01-31,349.0,349.5,338.0,342.5,345.4,1209329.0,4165.37
2017-02-01,342.5,359.9,342.5,356.6,358.95,1719603.0,6119.16
2017-02-02,358.8,360.0,355.5,357.25,359.3,1097980.0,3926.73
2017-02-03,359.3,362.0,356.7,357.0,360.15,896563.0,3224.27
2017-02-06,357.5,368.75,357.5,366.1,367.45,1838252.0,6725.67
2017-02-07,366.0,367.2,361.0,362.5,363.6,608870.0,2211.5
2017-02-08,363.0,365.0,356.25,356.9,358.15,1761889.0,6333.45
2017-02-09,357.55,360.8,352.1,357.35,356.45,516261.0,1838.82
2017-02-10,357.8,362.15,348.15,349.3,350.2,1036168.0,3682.62
2017-02-13,352.95,355.0,348.8,351.0,351.4,339348.0,1193.42
2017-02-14,351.4,358.4,351.4,356.0,357.4,504941.0,1799.0
2017-02-15,356.0,357.0,347.2,349.5,349.15,242565.0,850.11
2017-02-16,348.55,360.0,348.55,359.65,358.8,500182.0,1781.83
2017-02-17,360.0,365.3,355.0,362.15,362.9,1026944.0,3711.63
2017-02-20,362.0,362.8,357.2,357.5,358.45,221447.0,795.96
2017-02-21,358.0,363.0,355.55,356.0,356.8,269628.0,967.73
2017-02-22,358.0,358.1,350.0,351.9,351.8,301117.0,1063.84
2017-02-23,353.9,360.4,351.85,357.9,357.85,446372.0,1598.12
2017-02-27,358.75,364.0,357.05,362.2,362.5,1025217.0,3700.66
2017-02-28,362.95,365.0,358.15,362.2,361.35,534927.0,1935.84
2017-03-01,360.3,364.0,358.95,363.0,362.4,539631.0,1955.19
2017-03-02,368.0,371.6,361.1,362.7,363.2,2018671.0,7414.86
2017-03-03,362.95,365.1,359.1,361.7,362.6,512670.0,1859.77
2017-03-06,363.6,370.45,361.25,370.0,369.5,1628485.0,5975.79
2017-03-07,371.0,372.8,360.55,368.0,368.9,854942.0,3147.91
2017-03-08,369.5,375.0,368.25,373.25,374.0,1536173.0,5728.86
2017-03-09,372.0,378.0,369.4,370.8,372.65,1922978.0,7204.51
2017-03-10,373.7,374.9,368.35,370.75,370.45,1134047.0,4223.86
2017-03-14,374.9,375.9,372.2,374.5,374.75,2035563.0,7615.19
2017-03-15,373.65,378.9,373.65,374.8,376.75,1202120.0,4527.52
2017-03-16,377.0,378.9,369.15,370.9,370.2,766241.0,2866.38
2017-03-17,371.5,375.9,365.15,369.9,371.3,11314052.0,42015.34
2017-03-20,372.8,373.55,367.2,368.0,368.2,447618.0,1655.57
2017-03-21,368.3,374.55,368.3,370.0,371.1,3806709.0,14213.82
2017-03-22,369.1,369.45,361.25,363.5,364.1,614601.0,2251.81
2017-03-23,365.0,368.3,364.45,367.6,367.8,553928.0,2033.35
2017-03-24,368.5,374.9,368.05,373.0,374.05,672041.0,2500.33
