Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-11-07,138.0,149.0,134.0,140.0,140.85,40903.0,56.94
2014-11-10,141.25,144.75,140.55,142.05,142.05,4469.0,6.34
2014-11-11,145.0,150.0,143.0,145.05,145.25,4326.0,6.33
2014-11-12,149.0,149.0,142.25,143.5,143.5,2695.0,3.87
2014-11-13,145.0,146.0,141.7,142.1,142.7,2047.0,2.92
2014-11-14,142.0,143.0,130.1,136.45,136.6,6896.0,9.45
2014-11-17,131.1,133.5,124.0,125.0,125.25,8090.0,10.26
2014-11-18,126.0,144.4,126.0,138.0,135.5,8361.0,11.53
2014-11-19,142.0,142.0,137.4,137.55,138.25,2538.0,3.51
2014-11-20,140.0,142.0,132.0,138.0,139.8,17015.0,23.3
2014-11-21,136.4,142.0,135.7,137.55,137.55,9411.0,13.01
2014-11-24,145.0,145.0,136.0,138.15,139.4,1575.0,2.19
2014-11-25,137.1,140.0,137.0,137.0,137.0,2216.0,3.04
2014-11-26,136.0,146.85,136.0,145.65,146.05,6128.0,8.8
2014-11-27,148.0,153.25,148.0,150.0,150.65,7363.0,11.06
2014-11-28,154.95,163.0,152.0,161.05,161.15,14455.0,22.84
2014-12-01,167.0,167.0,160.0,163.65,165.0,20063.0,33.03
2014-12-02,164.5,170.8,163.0,166.0,168.2,3856.0,6.41
2014-12-03,169.0,175.05,169.0,175.0,173.25,5510.0,9.48
2014-12-04,173.95,190.95,173.95,189.5,185.9,11303.0,20.57
2014-12-05,189.0,204.9,189.0,197.75,193.7,18611.0,36.94
2014-12-08,185.05,196.9,185.0,196.0,192.75,4163.0,7.98
2014-12-09,196.45,199.7,190.0,190.05,191.0,4918.0,9.45
2014-12-10,191.05,199.7,191.0,199.7,195.25,10337.0,20.12
2014-12-11,197.0,203.0,197.0,199.0,199.0,4085.0,8.12
2014-12-12,199.0,201.65,198.0,198.0,198.1,5649.0,11.27
2014-12-15,200.0,202.0,197.25,201.1,200.05,4047.0,8.05
2014-12-16,200.0,200.0,190.0,195.0,195.9,11819.0,23.16
2014-12-17,195.0,198.95,195.0,198.4,198.5,18489.0,36.66
2014-12-18,198.0,205.0,198.0,202.0,200.4,3411.0,6.86
2014-12-19,204.0,207.0,199.0,199.0,199.05,2852.0,5.74
2014-12-22,200.0,203.0,198.6,198.6,199.1,1651.0,3.3
2014-12-23,200.0,203.0,197.0,197.0,197.85,22874.0,45.68
2014-12-24,200.0,201.0,195.0,198.0,198.45,16719.0,33.07
