Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-10-25,45.0,45.0,40.25,41.95,41.85,46370.0,19.39
2011-10-26,49.05,49.05,42.1,42.8,42.65,7751.0,3.63
2011-10-28,49.4,49.4,44.15,45.0,44.9,44324.0,19.92
2011-10-31,45.0,46.0,39.2,45.45,45.4,23457.0,10.53
2011-11-01,46.25,46.25,43.0,44.0,44.4,31498.0,14.13
2011-11-02,43.0,43.55,42.0,42.0,42.1,1526.0,0.66
2011-11-03,45.95,45.95,42.4,42.55,43.55,16915.0,7.61
2011-11-04,43.75,43.85,42.15,43.0,42.55,30229.0,13.14
2011-11-08,43.7,43.95,41.0,42.8,42.5,7918.0,3.41
2011-11-09,43.75,43.75,42.35,43.0,42.75,47770.0,20.67
2011-11-11,43.0,43.0,41.0,41.0,41.05,1017.0,0.42
2011-11-14,40.3,40.5,39.6,39.6,39.6,102.0,0.04
2011-11-15,38.0,38.05,37.95,37.95,37.95,12211.0,4.63
2011-11-16,39.2,39.2,36.0,38.45,38.3,41556.0,15.92
2011-11-17,43.0,43.0,37.0,38.5,38.5,2151.0,0.88
2011-11-18,36.75,37.0,35.75,36.8,36.3,5310.0,1.93
2011-11-21,43.5,43.5,34.1,37.0,37.0,1748.0,0.7
2011-11-22,35.0,37.25,35.0,36.5,36.5,2495.0,0.9
2011-11-23,37.0,37.0,35.0,36.05,36.05,328.0,0.12
2011-11-24,36.85,36.85,32.7,32.7,34.05,2382.0,0.84
2011-11-25,35.95,35.95,33.25,33.25,33.25,531.0,0.18
2011-11-28,34.25,36.25,34.25,34.5,34.5,790.0,0.28
2011-11-29,35.65,38.8,34.05,34.5,34.8,1987.0,0.72
2011-11-30,36.0,37.65,35.05,35.05,35.05,833.0,0.3
2011-12-01,37.0,37.9,35.2,37.8,36.5,53.0,0.02
2011-12-02,37.0,37.9,36.0,37.8,36.95,754.0,0.28
2011-12-05,36.5,37.2,35.1,37.2,36.15,2196.0,0.78
2011-12-07,37.8,38.8,37.1,38.75,38.45,619.0,0.24
2011-12-08,38.25,38.25,36.5,36.5,36.5,1135.0,0.42
2011-12-09,35.5,36.7,35.0,35.95,35.95,987.0,0.36
2011-12-12,35.05,36.55,33.6,34.45,34.4,530.0,0.18
2011-12-13,34.45,34.75,33.9,33.9,33.9,630.0,0.22
2011-12-14,34.65,34.65,33.3,34.0,34.0,5259.0,1.79
2011-12-15,33.1,34.3,29.5,34.0,33.95,5370.0,1.83
2011-12-16,31.7,33.7,31.15,32.6,32.6,1904.0,0.61
2011-12-19,33.0,33.0,30.0,30.2,30.45,1113.0,0.34
2011-12-20,29.8,32.0,28.1,31.5,31.05,1358.0,0.4
2011-12-21,29.1,33.95,29.1,33.95,32.65,7181.0,2.32
2011-12-22,32.0,33.75,32.0,33.1,33.1,1076.0,0.36
2011-12-23,36.4,36.4,32.55,35.9,35.15,1646.0,0.59
2011-12-26,36.9,38.65,36.9,38.65,38.65,1155.0,0.44
2011-12-27,40.8,41.7,40.45,41.0,40.95,1606.0,0.66
2011-12-28,41.0,41.0,39.0,39.0,39.0,1400.0,0.56
2011-12-29,38.1,41.9,38.1,41.0,40.75,2137.0,0.85
2011-12-30,43.5,46.45,42.2,44.75,43.85,83377.0,37.6
2012-01-02,44.25,52.6,44.25,52.6,51.65,64845.0,32.44
2012-01-03,53.5,57.45,48.25,55.0,54.9,118615.0,63.36
2012-01-04,52.6,56.4,50.0,55.0,55.4,27537.0,14.91
2012-01-05,54.95,57.8,52.6,54.75,55.2,23428.0,13.11
2012-01-06,55.1,55.45,50.35,51.9,51.2,9326.0,4.95
2012-01-07,50.3,50.5,50.3,50.5,50.5,20.0,0.01
2012-01-09,48.5,51.9,45.45,45.45,45.45,28648.0,13.33
2012-01-10,43.0,49.75,42.0,47.5,47.15,8854.0,4.18
