Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-04-18,205.0,210.55,203.0,203.6,204.1,36155.0,74.95
2017-04-19,203.15,206.75,197.6,204.35,202.65,14905.0,30.01
2017-04-20,199.0,204.5,197.65,199.0,199.2,11632.0,23.32
2017-04-21,203.95,203.95,198.0,200.0,200.55,5953.0,11.9
2017-04-24,204.0,204.0,196.0,197.5,198.7,10462.0,20.78
2017-04-25,203.5,203.5,196.0,197.95,198.1,16430.0,32.66
2017-04-26,202.5,202.5,195.0,197.0,196.2,9180.0,18.09
2017-04-27,195.2,198.95,193.0,193.5,193.85,5825.0,11.35
2017-04-28,194.5,197.4,193.1,196.4,194.7,5813.0,11.37
2017-05-02,195.0,199.0,189.0,190.0,189.6,13938.0,26.59
2017-05-03,193.6,193.6,190.0,193.4,193.3,11440.0,22.1
2017-05-04,194.3,202.0,192.9,200.0,200.1,24167.0,47.76
2017-05-05,196.1,199.9,193.85,198.0,194.65,11116.0,21.69
2017-05-08,194.0,197.95,194.0,195.2,195.6,8348.0,16.31
2017-05-09,196.8,197.05,189.0,191.5,192.15,20418.0,39.58
2017-05-10,195.0,195.1,190.15,193.5,193.95,6429.0,12.48
2017-05-11,193.0,199.05,184.5,189.0,188.25,51286.0,96.6
2017-05-12,194.85,198.9,190.05,194.5,194.9,35011.0,68.62
2017-05-15,195.5,197.0,190.1,191.0,191.6,7281.0,14.02
2017-05-16,191.0,193.9,190.5,191.45,191.85,7385.0,14.18
2017-05-17,190.15,201.4,190.1,190.35,192.15,37252.0,73.12
2017-05-18,190.05,194.95,185.05,188.0,187.65,21889.0,41.63
2017-05-19,187.65,193.0,186.25,190.0,189.25,9444.0,17.81
2017-05-22,193.9,193.9,187.0,187.0,187.2,5049.0,9.51
2017-05-23,186.55,189.9,181.5,185.0,182.85,12002.0,22.11
2017-05-24,182.2,191.0,178.45,180.0,179.2,23771.0,43.92
2017-05-25,179.05,186.0,179.05,181.0,181.5,8321.0,15.19
2017-05-26,181.0,199.0,181.0,190.0,189.75,20748.0,39.5
2017-05-29,185.0,189.05,181.0,188.5,188.15,14054.0,26.19
2017-05-30,194.4,195.0,184.0,189.8,187.25,41749.0,78.64
2017-05-31,189.95,190.3,184.2,186.0,186.25,8863.0,16.77
2017-06-01,188.55,190.0,185.6,189.0,188.75,13210.0,24.94
2017-06-02,190.0,192.6,188.1,190.6,189.95,20170.0,38.19
2017-06-05,197.0,197.0,188.15,189.4,190.25,10300.0,19.58
2017-06-06,194.9,194.9,186.0,186.5,186.85,7740.0,14.63
2017-06-07,189.95,190.0,183.0,183.0,185.5,7732.0,14.41
2017-06-08,189.85,190.0,183.15,183.25,183.9,15700.0,29.36
2017-06-09,185.95,187.5,180.6,183.75,183.25,9100.0,16.71
2017-06-12,184.0,184.0,173.15,179.0,179.95,26862.0,47.77
2017-06-13,179.35,184.9,176.05,178.7,178.7,20600.0,36.94
2017-06-14,180.0,184.0,177.55,182.5,182.2,15192.0,27.27
2017-06-15,181.05,187.0,180.25,180.25,180.65,25934.0,46.83
2017-06-16,184.05,185.8,181.45,183.2,183.6,10180.0,18.66
2017-06-19,183.5,186.85,182.3,182.5,183.0,14343.0,26.29
2017-06-20,186.0,186.0,182.0,182.0,182.85,10947.0,20.05
2017-06-21,184.05,184.9,180.95,183.0,182.75,6835.0,12.47
2017-06-22,180.9,190.0,180.9,189.0,188.6,9682.0,18.16
2017-06-23,189.0,192.4,185.6,191.6,190.2,40462.0,77.08
2017-06-27,194.95,195.0,185.5,192.95,191.25,8396.0,15.78
2017-06-28,195.95,195.95,188.0,188.2,188.95,6899.0,13.02
2017-06-29,189.55,192.95,189.2,191.1,191.1,1430.0,2.73
2017-06-30,191.5,194.8,190.8,192.0,192.55,4987.0,9.6
2017-07-03,196.7,204.3,194.0,203.0,203.2,43243.0,86.63
2017-07-04,206.8,209.0,201.8,202.0,202.2,18269.0,37.08
2017-07-05,208.9,208.9,202.65,202.7,202.95,3322.0,6.8
2017-07-06,207.95,209.4,203.0,208.0,207.55,15045.0,31.21
2017-07-07,207.5,209.9,203.55,207.25,207.2,16645.0,34.56
2017-07-10,210.0,229.5,200.05,208.0,208.6,1146.0,2.38
2017-07-11,215.0,215.0,207.9,209.0,209.75,10972.0,22.91
2017-07-12,213.75,224.0,207.45,223.75,221.8,21199.0,46.01
2017-07-13,219.85,223.45,212.6,212.6,216.45,9372.0,20.48
2017-07-14,219.5,219.5,208.0,209.1,209.2,10214.0,21.55
2017-07-17,209.0,224.0,206.35,207.55,208.95,10903.0,23.06
2017-07-18,212.7,212.7,207.5,210.0,210.05,7845.0,16.48
2017-07-19,213.0,214.0,205.7,212.0,212.7,11334.0,23.56
2017-07-20,217.85,220.5,211.0,219.9,217.6,7167.0,15.55
2017-07-21,217.6,222.0,215.0,219.0,218.85,11172.0,24.49
2017-07-24,212.35,224.25,212.35,215.0,215.25,18404.0,40.38
2017-07-25,219.0,219.0,209.0,210.0,209.9,3170.0,6.74
2017-07-26,212.8,212.8,207.0,210.35,210.0,9184.0,19.23
2017-07-27,211.95,216.05,208.55,211.1,211.25,4604.0,9.72
2017-07-28,207.0,216.75,207.0,210.0,209.55,1658.0,3.48
2017-07-31,211.0,218.4,200.0,218.0,215.55,4919.0,10.4
2017-08-01,220.0,220.0,207.15,210.8,210.2,3850.0,8.11
2017-08-02,214.0,217.85,208.0,208.0,210.65,3499.0,7.39
2017-08-03,210.5,210.5,206.55,207.0,207.0,2817.0,5.86
2017-08-04,206.0,208.0,200.0,202.1,202.15,9807.0,19.88
2017-08-07,200.05,201.0,189.1,192.0,191.95,56285.0,108.87
2017-08-08,192.0,198.0,185.0,185.0,185.6,7824.0,14.8
2017-08-09,186.75,188.45,180.15,182.35,182.95,19957.0,36.91
2017-08-10,184.8,189.0,182.6,183.0,183.3,55907.0,104.12
2017-08-11,180.0,185.5,178.0,185.5,183.0,13414.0,24.47
2017-08-14,189.0,202.0,184.0,187.9,186.05,16410.0,30.57
2017-08-16,191.0,192.05,185.5,185.6,186.35,7833.0,14.72
2017-08-17,187.4,189.4,184.0,184.0,185.1,6954.0,12.94
2017-08-18,186.95,187.5,180.25,181.5,182.35,7659.0,14.19
2017-08-21,188.95,188.95,182.0,185.0,184.5,4552.0,8.4
2017-08-22,186.05,186.2,180.0,180.0,180.15,4588.0,8.33
2017-08-23,184.4,184.4,179.5,181.85,182.75,3603.0,6.56
2017-08-24,189.85,192.0,180.7,181.5,181.7,8909.0,16.35
2017-08-28,185.0,187.9,184.0,187.5,187.4,2703.0,5.05
2017-08-29,186.0,187.0,179.0,179.0,182.3,7635.0,14.02
2017-08-30,184.9,208.0,184.9,199.9,196.75,24168.0,47.45
2017-08-31,197.0,200.0,195.0,198.9,197.7,1158.0,2.29
2017-09-01,199.8,226.35,195.0,218.5,217.15,26361.0,56.27
2017-09-04,220.0,224.0,214.55,217.0,219.4,12475.0,27.18
2017-09-05,223.65,223.65,218.1,218.5,218.55,10193.0,22.33
2017-09-06,219.95,221.2,216.9,220.0,219.4,11255.0,24.65
2017-09-07,221.35,230.35,219.2,220.0,220.05,9465.0,21.3
2017-09-08,223.95,232.55,223.0,230.9,228.55,13778.0,31.34
2017-09-11,235.0,235.0,224.1,231.0,231.1,18476.0,42.59
2017-09-12,228.25,229.95,225.0,225.0,227.0,4856.0,11.0
2017-09-13,230.95,230.95,225.0,225.0,225.0,4376.0,9.89
2017-09-14,229.4,230.05,225.5,227.0,226.1,4524.0,10.32
2017-09-15,224.0,230.4,223.95,230.0,227.35,3826.0,8.65
