Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-02-09,634.0,635.05,615.8,620.5,620.05,230927.0,1434.43
2017-02-10,624.0,648.75,620.0,640.05,640.6,302035.0,1911.7
2017-02-13,638.0,658.8,633.05,657.25,655.8,141163.0,916.48
2017-02-14,655.1,681.9,652.35,675.1,675.35,302526.0,2034.92
2017-02-15,676.5,679.7,650.1,665.6,664.35,89118.0,593.02
2017-02-16,667.4,671.4,655.7,662.0,661.5,23617.0,156.79
2017-02-17,662.55,667.0,653.05,659.2,663.8,176694.0,1167.53
2017-02-20,660.55,675.0,656.6,670.1,671.85,98942.0,664.07
2017-02-21,671.6,680.0,666.0,673.0,672.55,72728.0,489.91
2017-02-22,672.05,676.0,664.0,670.0,668.8,32932.0,221.05
2017-02-23,673.0,703.95,673.0,689.0,690.85,186604.0,1286.27
2017-02-27,695.0,721.0,689.35,719.85,715.6,168296.0,1194.09
2017-02-28,720.0,724.7,703.2,704.5,705.9,51864.0,371.08
2017-03-01,701.25,721.25,701.25,715.0,715.7,51551.0,367.04
2017-03-02,719.95,729.0,700.0,700.5,701.85,67426.0,482.12
2017-03-03,704.4,708.0,685.1,690.95,688.05,53474.0,370.03
2017-03-06,697.9,704.3,685.7,692.0,691.25,33185.0,230.13
2017-03-07,691.0,712.85,687.0,701.0,700.1,66964.0,469.45
2017-03-08,697.75,707.95,686.0,702.3,702.1,31449.0,219.38
2017-03-09,697.15,708.4,691.15,695.1,699.35,14186.0,99.28
2017-03-10,704.4,706.95,686.2,688.0,688.2,25989.0,180.03
2017-03-14,709.8,710.95,691.55,698.05,698.1,34639.0,242.06
2017-03-15,685.1,707.9,685.1,697.1,700.5,68995.0,480.46
2017-03-16,707.0,708.0,693.55,704.95,704.3,67207.0,472.89
2017-03-17,705.1,706.15,690.6,701.5,698.75,15848.0,111.01
2017-03-20,690.2,711.8,690.2,700.0,700.9,40223.0,282.52
2017-03-21,692.0,712.7,692.0,706.4,705.75,35792.0,252.12
2017-03-22,695.1,744.95,694.15,742.0,726.9,113956.0,824.96
2017-03-23,749.0,749.0,732.0,740.0,738.8,77266.0,573.5
2017-03-24,739.65,745.0,725.0,730.0,727.75,30879.0,226.74
2017-03-27,737.1,737.1,716.05,726.3,722.6,37330.0,269.71
2017-03-28,725.05,729.65,715.35,719.0,718.85,50636.0,364.48
2017-03-29,715.1,754.0,714.0,729.9,735.0,111460.0,813.3
2017-03-30,726.0,758.55,726.0,753.0,749.5,167534.0,1256.35
2017-03-31,755.0,774.7,745.0,765.4,768.5,209190.0,1599.26
2017-04-03,765.4,788.2,765.0,766.0,769.7,82989.0,643.46
2017-04-05,773.0,789.0,770.0,781.0,780.3,73144.0,572.69
2017-04-06,782.2,784.7,774.1,783.0,780.55,27576.0,215.3
2017-04-07,772.3,830.0,772.3,796.0,800.45,143210.0,1150.76
2017-04-10,801.0,849.0,801.0,830.1,831.5,139237.0,1154.93
2017-04-11,833.1,851.0,833.0,835.05,837.0,70650.0,592.89
2017-04-12,840.0,841.0,811.0,825.65,832.85,63378.0,525.62
2017-04-13,831.0,850.0,825.0,830.05,832.25,69551.0,582.75
2017-04-17,838.85,856.6,813.0,823.5,821.2,185980.0,1547.01
2017-04-18,827.0,840.0,815.0,819.9,818.05,29033.0,239.62
2017-04-19,822.0,828.5,810.25,813.6,813.75,39606.0,322.77
2017-04-20,801.0,834.0,801.0,829.0,829.75,54979.0,455.41
2017-04-21,832.0,838.0,815.5,828.0,827.25,67824.0,564.05
2017-04-24,830.0,857.4,815.6,840.0,843.6,36708.0,306.57
2017-04-25,845.1,845.1,830.05,831.1,832.85,58565.0,491.15
2017-04-26,839.9,841.0,817.0,817.05,821.65,38898.0,323.54
2017-04-27,821.65,824.6,805.0,806.0,806.75,23310.0,188.97
2017-04-28,810.65,827.0,788.0,820.0,806.1,60316.0,486.5
2017-05-02,810.5,826.8,800.25,805.25,811.45,21477.0,173.7
2017-05-03,808.0,820.45,796.75,799.0,802.15,21981.0,177.35
2017-05-04,804.15,816.0,802.0,802.0,804.8,45537.0,367.2
2017-05-05,801.25,805.0,790.0,792.6,797.65,22735.0,180.98
2017-05-08,790.0,805.0,790.0,792.05,795.8,22591.0,180.66
2017-05-09,802.5,802.5,791.4,795.0,794.95,26551.0,211.28
2017-05-10,801.85,819.9,796.05,809.0,809.65,87953.0,713.43
2017-05-11,809.0,819.7,794.3,797.95,797.7,76931.0,618.41
2017-05-12,800.0,821.2,782.2,810.0,810.8,174006.0,1410.3
2017-05-15,816.2,830.0,814.65,822.35,820.95,115988.0,954.36
2017-05-16,823.0,823.9,793.5,798.0,798.9,105251.0,845.99
2017-05-17,806.75,810.7,802.0,807.9,807.35,49075.0,396.59
2017-05-18,792.1,812.05,792.1,804.8,803.85,33203.0,267.15
2017-05-19,800.85,806.7,790.25,800.0,800.85,42123.0,336.95
2017-05-22,801.0,809.0,799.5,805.0,805.2,160897.0,1296.0
2017-05-23,809.6,810.0,785.25,800.0,801.85,63650.0,509.18
2017-05-24,809.5,850.0,795.1,825.0,831.2,180675.0,1494.19
2017-05-25,817.9,827.0,810.2,820.0,819.2,36408.0,297.85
2017-05-26,819.85,822.0,805.25,810.0,813.1,44836.0,366.84
2017-05-29,820.0,833.2,817.25,819.0,818.2,23886.0,196.59
2017-05-30,818.2,820.4,810.65,814.95,814.5,24889.0,202.81
2017-05-31,815.0,854.7,803.65,815.9,841.4,340907.0,2847.6
2017-06-01,823.0,845.0,820.05,839.5,840.05,81447.0,682.4
2017-06-02,839.05,874.7,836.9,867.9,868.55,101023.0,869.12
2017-06-05,869.0,874.8,866.0,866.0,869.75,108736.0,946.35
2017-06-06,875.0,885.0,875.0,876.0,879.7,86146.0,757.93
2017-06-07,880.0,919.75,880.0,901.0,899.45,181080.0,1632.69
2017-06-08,916.5,920.0,875.25,879.7,882.5,72582.0,650.94
2017-06-09,881.9,899.0,872.15,893.5,892.55,66060.0,590.14
2017-06-12,885.0,898.0,875.05,875.05,876.7,14453.0,127.88
2017-06-13,878.0,892.3,875.0,879.8,881.8,27557.0,243.27
2017-06-14,881.8,907.95,880.05,886.2,889.55,110920.0,991.45
2017-06-15,890.0,929.7,890.0,919.4,921.0,79187.0,722.7
2017-06-16,921.0,951.0,919.35,940.0,936.8,90526.0,850.41
2017-06-19,945.45,948.3,930.25,930.25,932.0,28512.0,267.72
2017-06-20,933.05,933.05,898.0,898.05,904.0,19293.0,176.22
2017-06-21,900.0,915.95,891.25,895.25,896.45,44353.0,400.17
2017-06-22,901.05,911.95,890.25,891.15,892.75,76386.0,683.07
2017-06-23,892.75,896.7,874.7,876.0,877.9,56228.0,494.45
2017-06-27,882.0,905.8,882.0,887.0,889.85,79960.0,713.06
2017-06-28,885.0,895.6,871.35,887.3,887.05,100918.0,893.7
2017-06-29,893.0,894.05,869.25,870.0,872.65,34944.0,307.11
2017-06-30,871.85,882.0,869.0,875.0,875.45,34826.0,304.73
2017-07-03,881.6,883.4,870.45,874.0,874.45,96284.0,842.17
2017-07-04,878.35,890.0,868.4,869.0,874.2,30740.0,271.11
2017-07-05,872.45,878.0,865.0,866.0,867.4,42302.0,368.76
2017-07-06,870.0,878.35,856.05,856.2,860.4,57890.0,502.94
2017-07-07,858.0,865.0,855.25,857.2,859.35,24676.0,212.22
2017-07-10,865.0,880.0,858.05,877.0,863.05,15979.0,138.34
2017-07-11,870.0,909.85,870.0,884.0,883.15,89507.0,797.28
2017-07-12,889.5,933.95,887.25,898.0,902.35,337585.0,3091.52
2017-07-13,909.0,915.9,890.25,890.65,897.15,48730.0,438.58
2017-07-14,902.1,903.95,872.25,880.0,881.95,41899.0,370.02
2017-07-17,871.05,902.5,871.05,900.0,887.45,80207.0,710.61
2017-07-18,890.0,898.0,864.0,865.0,869.8,32907.0,289.39
2017-07-19,879.5,892.0,873.05,881.05,880.15,65679.0,577.58
2017-07-20,880.0,889.9,880.0,884.0,886.15,112727.0,1000.8
2017-07-21,887.15,891.25,884.9,885.65,889.85,141941.0,1261.18
2017-07-24,890.0,928.95,888.0,920.0,916.35,100172.0,912.86
2017-07-25,922.0,929.75,905.7,914.6,912.7,115664.0,1061.07
2017-07-26,911.3,919.9,907.25,917.5,915.15,32112.0,293.88
2017-07-27,915.0,931.0,915.0,916.1,924.4,80090.0,740.12
2017-07-28,920.6,924.95,911.35,912.0,917.1,10870.0,99.82
2017-07-31,910.0,919.0,900.1,906.05,904.5,18942.0,172.19
2017-08-01,894.0,927.65,894.0,913.0,919.6,49417.0,451.06
2017-08-02,912.0,920.2,908.25,917.0,915.45,21594.0,197.35
