Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-06-24,284.95,291.9,281.95,291.7,291.55,11682.0,33.66
2016-06-27,291.7,295.0,286.0,286.55,290.15,12422.0,36.42
2016-06-28,294.95,294.95,287.1,293.5,292.9,2235.0,6.5
2016-06-29,290.7,296.95,288.0,293.0,295.05,4386.0,12.85
2016-06-30,299.9,300.95,297.0,300.95,300.5,6343.0,19.04
2016-07-01,305.0,305.0,296.2,301.5,303.3,4749.0,14.29
2016-07-04,315.0,315.0,305.0,306.95,308.85,2780.0,8.58
2016-07-05,315.0,315.0,294.0,305.0,302.6,2955.0,8.99
2016-07-07,313.7,317.7,289.0,317.7,317.7,36466.0,113.17
2016-07-08,323.05,328.5,302.5,313.05,315.15,8121.0,25.68
2016-07-11,324.2,324.2,305.7,310.0,310.2,5293.0,16.57
2016-07-12,319.0,319.0,304.0,304.75,305.6,1940.0,5.95
2016-07-13,310.0,310.9,298.0,300.1,302.3,2688.0,8.13
2016-07-14,305.9,308.9,298.2,307.0,306.55,2522.0,7.67
2016-07-15,300.1,306.9,298.0,300.0,301.25,3369.0,10.13
2016-07-18,301.25,310.0,297.0,300.1,302.0,7116.0,21.72
2016-07-19,302.0,303.05,295.0,295.0,296.35,3311.0,9.85
2016-07-20,300.0,306.9,291.65,300.0,300.0,4755.0,14.1
2016-07-21,300.0,306.0,290.1,291.0,291.15,6969.0,20.6
2016-07-22,297.0,297.95,290.1,293.3,290.85,2041.0,5.97
2016-07-25,300.0,305.0,290.6,302.1,303.6,4988.0,14.99
2016-07-26,304.0,306.2,292.0,303.0,303.35,2612.0,7.93
2016-07-27,303.0,308.0,297.55,305.95,304.4,5726.0,17.3
2016-07-28,303.0,310.0,299.2,300.0,300.5,3001.0,9.1
2016-07-29,301.0,302.9,293.2,297.8,295.65,3819.0,11.39
2016-08-01,300.0,308.0,296.2,307.2,305.45,6712.0,20.43
2016-08-02,307.0,308.05,293.0,298.95,298.95,7675.0,23.02
2016-08-03,300.0,305.0,292.1,302.95,300.35,3817.0,11.49
2016-08-04,300.0,304.85,295.0,301.55,300.6,3037.0,9.14
2016-08-05,302.0,303.0,297.0,300.0,300.3,6442.0,19.3
2016-08-08,294.5,300.0,278.55,283.0,281.85,24489.0,69.92
2016-08-09,287.0,295.0,283.0,286.0,285.75,18295.0,52.91
2016-08-10,304.0,304.0,284.0,284.0,285.7,11907.0,34.33
2016-08-11,286.0,289.8,280.0,280.0,281.6,7343.0,20.79
2016-08-12,285.3,288.0,280.0,286.8,283.65,4093.0,11.64
2016-08-16,287.0,297.6,271.5,276.05,277.8,8983.0,24.95
2016-08-17,285.0,285.0,270.0,279.0,277.15,4875.0,13.52
2016-08-18,283.0,285.6,274.95,279.0,279.9,16748.0,46.9
2016-08-19,279.0,285.0,275.1,280.5,279.8,11887.0,33.31
2016-08-22,277.1,299.0,270.0,276.0,275.9,8575.0,23.59
2016-08-23,279.0,279.0,252.0,268.6,269.1,7399.0,20.02
2016-08-24,276.0,277.4,267.0,276.0,275.75,6403.0,17.42
2016-08-25,276.2,278.0,270.75,273.0,273.85,8210.0,22.4
2016-08-26,276.0,279.9,266.2,269.95,270.15,6913.0,18.72
2016-08-29,270.2,270.2,265.0,265.05,266.35,5873.0,15.7
2016-08-30,266.35,273.3,258.5,262.0,264.0,5787.0,15.4
2016-08-31,265.0,273.0,261.0,266.0,267.8,5853.0,15.72
2016-09-01,267.95,268.95,265.0,265.0,266.45,3857.0,10.26
2016-09-02,268.45,275.0,264.5,269.5,270.25,11585.0,31.27
2016-09-06,275.0,296.0,273.9,278.1,279.55,13523.0,37.85
2016-09-07,286.0,286.0,274.0,282.0,281.35,11893.0,33.32
2016-09-08,280.0,285.0,280.0,283.0,282.55,9368.0,26.39
2016-09-09,280.0,280.0,271.65,276.0,275.1,10200.0,28.37
2016-09-12,280.0,296.0,269.0,275.5,272.55,7997.0,21.99
2016-09-14,277.0,281.8,273.05,278.0,277.85,5928.0,16.43
2016-09-15,283.95,283.95,269.3,270.0,272.05,9085.0,24.93
2016-09-16,275.0,282.0,270.0,271.0,270.45,9980.0,27.48
2016-09-19,276.0,278.0,265.15,267.0,267.1,6485.0,17.42
2016-09-20,265.0,270.3,265.0,268.0,269.55,7182.0,19.31
2016-09-21,272.0,279.0,264.35,265.0,266.85,12324.0,33.43
2016-09-22,273.0,273.0,266.0,268.5,267.95,8116.0,21.87
2016-09-23,268.0,272.95,265.0,269.0,267.35,13026.0,35.05
2016-09-26,269.0,272.65,265.0,267.0,267.15,4919.0,13.14
2016-09-27,273.0,273.0,263.0,265.0,267.2,14791.0,39.27
2016-09-28,269.5,288.0,263.25,281.0,282.4,35317.0,97.38
2016-09-29,281.0,282.95,260.05,261.7,264.25,14931.0,40.52
2016-09-30,263.5,288.0,263.5,271.5,271.25,11053.0,29.91
2016-10-03,280.0,280.0,267.2,270.5,270.6,22209.0,60.13
2016-10-04,282.0,282.05,269.0,276.65,279.2,13451.0,37.38
2016-10-05,281.0,289.0,281.0,284.1,284.05,12867.0,36.54
2016-10-06,283.0,288.0,283.0,286.0,284.1,5870.0,16.75
2016-10-07,283.0,289.0,269.0,286.9,286.85,40847.0,115.66
2016-10-10,286.0,288.85,275.55,284.9,282.05,5058.0,14.34
2016-10-13,282.05,285.0,277.6,281.0,281.25,92256.0,258.35
2016-10-14,294.9,294.9,287.6,288.1,291.45,24382.0,70.86
2016-10-17,293.95,293.95,285.0,292.9,290.7,13059.0,37.72
2016-10-18,286.0,295.3,286.0,294.0,294.6,7824.0,23.0
2016-10-19,294.0,298.0,286.2,290.0,288.5,7022.0,20.41
2016-10-20,288.5,292.8,286.1,290.0,290.0,6764.0,19.58
2016-10-21,292.0,295.0,287.1,292.0,292.35,3123.0,9.09
2016-10-24,289.9,292.65,286.55,289.9,289.95,12497.0,36.1
