Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-05-06,33.1,37.95,33.0,36.0,36.05,11784.0,4.27
2015-05-07,35.8,36.95,34.3,35.0,34.85,16432.0,5.82
2015-05-08,36.3,36.35,31.7,34.45,34.4,17513.0,5.93
2015-05-11,34.15,35.65,33.0,35.55,35.45,13252.0,4.66
2015-05-12,34.5,35.6,33.6,34.95,34.9,19424.0,6.82
2015-05-13,34.0,35.6,34.0,34.9,34.55,7002.0,2.43
2015-05-14,34.6,35.0,33.2,33.9,34.25,3697.0,1.26
2015-05-15,34.6,36.6,34.55,35.1,34.65,4482.0,1.58
2015-05-18,33.2,36.8,33.2,36.0,36.0,21265.0,7.43
2015-05-19,36.25,36.25,34.6,35.7,35.25,10049.0,3.58
2015-05-20,35.25,36.35,34.6,34.75,35.05,18061.0,6.4
2015-05-21,34.75,37.15,34.55,37.15,36.75,25516.0,9.27
2015-05-22,35.65,37.3,35.3,35.3,35.7,5587.0,2.0
2015-05-25,35.0,36.0,34.5,34.85,34.75,8710.0,3.04
2015-05-26,35.7,35.7,34.0,34.95,34.95,5408.0,1.89
2015-05-27,34.95,37.8,33.4,37.5,37.4,40917.0,15.19
2015-05-28,37.9,38.05,36.6,36.6,37.15,17595.0,6.6
2015-05-29,36.7,37.9,35.0,35.0,35.4,42967.0,15.45
2015-06-01,34.0,35.7,34.0,34.6,34.6,10397.0,3.65
2015-06-02,34.5,35.4,33.6,34.2,34.2,22813.0,7.82
2015-06-03,34.05,34.1,32.2,33.6,33.15,15898.0,5.32
2015-06-04,34.2,34.95,33.55,33.7,34.85,9975.0,3.4
2015-06-05,34.3,34.7,33.95,34.65,34.3,4694.0,1.61
2015-06-08,35.2,35.35,33.0,33.0,33.65,19892.0,6.79
2015-06-09,33.9,33.9,32.0,32.7,32.7,21170.0,6.95
2015-06-10,33.0,34.65,33.0,34.0,33.9,23259.0,7.77
2015-06-11,34.7,34.7,31.1,32.6,32.85,14871.0,4.88
2015-06-12,34.0,34.0,32.2,33.0,32.75,12562.0,4.16
2015-06-15,33.4,33.4,31.05,32.2,32.6,14410.0,4.68
2015-06-16,33.0,35.4,30.55,35.4,34.75,21044.0,7.09
2015-06-17,34.6,37.0,34.15,35.0,35.1,153795.0,55.14
2015-06-18,35.8,36.25,35.0,35.6,35.55,43498.0,15.58
2015-06-19,34.3,35.9,34.3,35.9,35.65,13857.0,4.89
2015-06-22,35.8,36.0,34.8,36.0,35.95,7689.0,2.75
2015-06-23,36.0,36.25,35.4,36.0,36.0,3993.0,1.44
