Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-07-23,729.8,749.9,701.25,708.0,708.4,31287.0,227.0
2010-07-26,715.0,716.8,701.0,701.15,703.4,1650.0,11.67
2010-07-27,700.0,709.0,690.0,703.0,701.05,897.0,6.25
2010-07-28,724.9,724.9,692.1,692.1,694.1,278.0,1.94
2010-07-29,635.5,698.0,635.5,698.0,698.0,567.0,3.92
2010-07-30,690.0,697.0,686.1,692.1,692.6,695.0,4.82
2010-08-02,691.0,708.0,686.0,691.1,691.25,1435.0,9.95
2010-08-03,697.0,700.0,691.15,691.5,692.6,2230.0,15.49
2010-08-04,691.0,699.8,672.05,672.05,681.7,1233.0,8.49
2010-08-05,681.0,685.0,665.0,665.0,674.6,660.0,4.47
2010-08-06,675.0,683.9,660.5,662.0,665.4,1316.0,8.85
2010-08-09,670.0,735.0,670.0,718.0,725.15,3939.0,27.89
2010-08-10,725.15,725.15,703.15,707.0,710.05,2694.0,19.22
2010-08-11,691.0,711.0,691.0,691.05,692.65,609.0,4.29
2010-08-12,690.05,699.0,687.0,691.0,690.55,572.0,3.97
2010-08-13,670.0,697.8,670.0,685.0,682.0,960.0,6.53
2010-08-16,690.0,720.5,685.15,701.6,703.15,9078.0,63.9
2010-08-17,701.0,705.0,690.4,700.0,700.0,1201.0,8.41
2010-08-18,692.1,720.0,692.1,701.0,702.8,3091.0,22.11
2010-08-19,714.0,715.0,690.55,693.5,693.7,1335.0,9.37
2010-08-20,690.1,699.8,685.0,689.9,687.7,651.0,4.49
2010-08-23,685.0,699.0,680.0,680.0,683.0,800.0,5.5
2010-08-24,676.0,689.95,670.0,673.0,675.25,1327.0,8.95
2010-08-25,695.0,695.0,660.0,660.0,662.85,1535.0,10.23
2010-08-26,674.9,674.9,654.0,655.3,660.3,647.0,4.3
2010-08-27,638.0,675.0,638.0,650.15,651.0,1248.0,8.27
2010-08-30,669.5,675.0,648.2,660.95,652.95,1601.0,10.57
2010-08-31,649.0,654.75,630.1,630.1,635.65,2424.0,15.6
2010-09-01,658.45,670.0,640.05,669.0,665.5,1245.0,8.09
2010-09-02,688.0,688.0,655.05,663.0,664.05,1510.0,10.18
2010-09-03,652.35,664.9,650.0,664.9,660.2,1242.0,8.16
2010-09-06,661.0,710.0,661.0,690.0,688.8,8544.0,58.32
2010-09-07,690.0,699.0,680.05,688.2,689.1,1373.0,9.48
2010-09-08,680.1,767.0,680.1,728.0,724.1,89246.0,664.05
2010-09-09,750.0,760.0,706.15,738.15,739.95,11057.0,82.42
2010-09-13,750.0,754.95,723.0,725.0,727.1,3605.0,26.46
2010-09-14,730.0,743.0,715.0,724.0,729.1,14875.0,109.0
2010-09-15,738.0,753.0,730.0,735.0,737.05,11522.0,85.56
2010-09-16,749.9,749.9,720.0,722.0,720.65,6154.0,45.08
2010-09-17,712.4,737.0,712.4,715.0,721.05,3298.0,24.03
2010-09-20,730.0,740.0,729.0,732.0,732.1,5011.0,36.84
2010-09-21,731.75,744.0,716.35,731.3,733.8,10765.0,78.69
2010-09-22,725.0,737.0,712.3,714.0,717.8,2016.0,14.55
2010-09-23,711.0,720.0,702.0,710.0,707.9,1987.0,14.12
2010-09-24,701.0,725.0,701.0,709.0,707.5,2272.0,16.2
2010-09-27,710.0,722.0,702.0,714.5,709.95,3682.0,26.22
2010-09-28,703.0,715.0,703.0,705.0,708.2,2856.0,20.31
2010-09-29,710.05,779.65,706.1,706.7,709.95,3017.0,21.71
2010-09-30,716.0,720.0,706.0,718.0,707.6,3937.0,28.19
2010-10-01,718.0,728.0,714.0,721.05,723.1,5626.0,40.67
2010-10-04,725.0,732.0,719.5,723.0,720.5,3289.0,23.82
2010-10-05,712.0,724.0,712.0,721.45,720.05,1629.0,11.71
2010-10-06,723.1,779.7,723.0,742.0,740.35,8017.0,59.51
2010-10-07,742.0,750.0,715.0,723.0,721.2,7031.0,51.89
2010-10-08,720.05,757.9,719.0,743.0,741.8,9908.0,74.0
2010-10-11,741.8,760.0,736.0,755.0,757.2,8928.0,67.04
2010-10-12,746.0,761.0,745.0,745.0,747.0,4771.0,35.91
2010-10-13,753.0,834.0,747.0,781.05,787.05,85649.0,681.78
2010-10-14,794.75,800.0,775.2,783.0,785.6,13565.0,107.46
2010-10-15,790.0,799.9,760.0,763.0,766.45,5471.0,42.54
2010-10-18,765.0,774.0,743.0,752.0,750.4,6075.0,45.87
2010-10-19,772.0,795.0,753.0,763.05,767.65,10014.0,77.65
2010-10-20,750.0,780.0,750.0,755.1,757.55,3357.0,25.63
2010-10-21,755.0,771.9,749.0,752.0,749.9,4628.0,34.91
2010-10-22,759.35,777.0,751.0,755.0,753.65,4610.0,35.37
2010-10-25,767.4,770.0,736.35,750.0,748.0,6451.0,48.47
2010-10-26,749.8,763.5,741.0,745.3,744.1,2128.0,15.96
2010-10-27,761.0,775.0,745.8,768.5,757.3,4815.0,36.43
2010-10-28,753.1,779.0,753.1,768.0,767.2,10173.0,78.53
2010-10-29,776.8,784.0,740.0,749.95,747.7,33272.0,254.44
2010-11-01,766.9,774.9,732.3,743.0,742.55,11242.0,84.89
2010-11-02,754.4,781.0,750.2,778.0,777.55,28094.0,215.56
2010-11-03,714.1,825.0,714.1,795.0,791.05,61060.0,487.7
2010-11-04,794.0,800.0,769.1,773.05,772.7,7815.0,61.39
2010-11-05,775.0,794.9,775.0,786.0,786.9,2842.0,22.32
2010-11-08,790.0,829.8,775.1,801.0,804.95,23596.0,191.12
2010-11-09,810.0,810.0,780.0,786.1,792.75,8926.0,71.55
2010-11-10,799.85,811.0,790.0,796.0,799.95,24546.0,197.73
2010-11-11,805.0,811.0,777.7,780.05,780.15,18145.0,145.39
2010-11-12,772.9,800.0,755.0,759.1,760.5,18889.0,147.45
2010-11-15,770.0,774.4,743.15,757.85,757.1,3709.0,27.98
2010-11-16,755.1,761.8,720.0,721.1,724.5,6363.0,46.53
2010-11-18,725.0,733.5,700.0,707.0,709.0,4827.0,34.25
2010-11-19,719.95,724.0,685.0,685.0,688.6,8543.0,60.28
2010-11-22,715.0,715.0,683.15,690.0,690.5,5781.0,40.21
2010-11-23,683.05,688.0,665.15,670.2,675.35,4667.0,31.5
2010-11-24,685.0,685.0,660.15,669.0,662.6,1238.0,8.32
2010-11-25,663.0,674.0,633.0,635.0,635.25,2483.0,16.0
2010-11-26,620.05,649.85,603.5,604.0,606.75,2245.0,13.66
2010-11-29,603.5,619.9,580.1,619.9,609.7,4519.0,26.99
2010-11-30,600.0,625.0,600.0,625.0,622.1,3647.0,22.5
2010-12-01,649.8,653.25,625.5,653.25,653.25,2374.0,15.37
2010-12-02,675.0,685.95,660.0,685.95,685.95,4538.0,30.9
2010-12-03,700.0,700.0,651.65,655.0,652.05,5157.0,34.79
2010-12-06,646.0,675.0,621.9,625.0,630.1,4849.0,31.26
2010-12-07,630.0,635.0,605.0,615.0,614.75,5072.0,31.29
2010-12-08,610.0,620.0,601.3,604.0,604.45,3177.0,19.42
2010-12-09,600.0,632.2,575.1,593.0,590.45,4368.0,25.91
2010-12-10,593.95,619.95,585.0,605.0,609.05,2142.0,12.94
2010-12-13,609.05,625.0,595.25,613.0,609.65,2072.0,12.69
2010-12-14,625.0,640.15,603.5,620.0,627.0,3255.0,20.52
2010-12-15,646.8,650.0,595.65,600.0,600.0,3643.0,22.03
2010-12-16,585.0,605.0,585.0,600.0,599.95,2868.0,17.17
2010-12-20,600.0,624.95,600.0,617.05,615.85,7939.0,48.37
2010-12-21,640.0,640.0,600.0,606.0,606.05,848.0,5.18
2010-12-22,600.0,630.0,598.3,598.3,599.7,4660.0,27.98
2010-12-23,600.0,605.0,592.2,600.0,599.35,4364.0,26.18
2010-12-24,595.0,599.9,590.0,595.0,594.15,1724.0,10.26
2010-12-27,595.0,619.0,595.0,605.0,600.9,26113.0,156.81
2010-12-28,602.0,610.0,595.0,610.0,608.95,18140.0,109.88
2010-12-29,601.0,612.0,601.0,610.0,610.0,10685.0,65.17
2010-12-30,605.0,620.0,605.0,610.0,610.15,8521.0,52.04
2010-12-31,615.0,615.0,610.0,615.0,611.0,2018.0,12.37
2011-01-03,616.0,621.5,591.0,615.0,619.85,5145.0,31.85
2011-01-04,615.0,618.5,605.55,610.0,610.15,4389.0,26.79
2011-01-05,595.0,640.0,585.0,605.0,604.9,7051.0,42.78
2011-01-06,605.0,610.0,600.0,600.0,604.1,11832.0,71.5
2011-01-07,607.45,608.0,595.0,595.0,596.7,10392.0,62.31
2011-01-10,598.0,613.0,569.0,610.0,603.4,12117.0,72.45
2011-01-11,586.1,609.0,586.1,590.0,594.2,18227.0,109.0
2011-01-12,580.2,623.95,567.0,623.95,623.45,1858.0,11.23
2011-01-13,623.0,640.0,620.0,620.0,620.1,569.0,3.6
2011-01-14,590.0,649.0,590.0,649.0,640.8,3013.0,19.21
2011-01-17,620.0,629.0,608.8,608.8,608.85,28913.0,176.09
2011-01-18,600.0,612.0,585.0,612.0,612.0,6115.0,37.25
2011-01-19,600.0,612.85,585.0,610.0,610.0,925.0,5.63
2011-01-20,619.95,623.8,608.0,620.0,620.0,1175.0,7.22
2011-01-21,609.8,620.0,609.8,611.5,611.5,372.0,2.28
2011-01-24,615.0,626.0,610.0,620.0,620.15,2807.0,17.35
2011-01-25,610.0,651.1,610.0,644.0,636.4,3743.0,23.38
2011-01-27,620.0,648.9,608.0,629.0,621.65,3262.0,20.29
2011-01-28,610.05,633.0,600.0,633.0,628.4,24326.0,149.82
2011-01-31,600.3,644.8,598.0,644.0,644.35,4023.0,25.22
2011-02-01,626.0,639.85,620.0,620.0,627.25,96.0,0.6
2011-02-02,620.0,650.0,620.0,650.0,644.05,3988.0,25.46
2011-02-03,621.15,653.0,621.15,653.0,647.8,4931.0,31.83
2011-02-04,640.0,654.5,624.1,640.0,650.2,1882.0,12.22
2011-02-07,625.0,659.7,620.95,659.7,655.05,2172.0,14.11
2011-02-08,650.0,650.0,622.3,634.0,623.7,2004.0,12.54
2011-02-09,600.0,624.0,595.35,595.4,603.4,2067.0,12.54
2011-02-10,595.0,614.0,573.25,573.25,573.25,4342.0,24.91
2011-02-11,547.45,582.0,544.6,575.0,575.05,1285.0,7.11
2011-02-14,575.0,603.8,575.0,603.8,601.4,644.0,3.81
2011-02-15,575.1,611.0,575.1,599.55,598.85,342.0,2.07
2011-02-16,580.0,601.9,580.0,590.25,597.95,156.0,0.93
2011-02-17,585.35,591.5,585.35,590.5,590.45,587.0,3.46
2011-02-18,570.5,610.0,570.5,605.0,603.2,4170.0,25.32
2011-02-21,580.0,610.0,576.1,610.0,605.85,2550.0,15.26
2011-02-22,584.05,584.05,581.4,583.55,583.55,109.0,0.63
2011-02-23,565.0,595.0,565.0,578.0,578.5,1613.0,9.39
2011-02-24,571.0,599.85,565.1,590.0,577.6,525.0,3.02
2011-02-25,561.0,587.0,557.0,560.25,560.25,453.0,2.55
2011-02-28,570.0,582.0,560.0,560.0,560.55,169.0,0.96
2011-03-01,573.0,573.0,563.0,573.0,573.0,89.0,0.51
2011-03-03,553.0,575.0,553.0,571.0,573.15,1097.0,6.29
2011-03-04,560.5,572.0,560.5,562.5,563.3,90.0,0.51
2011-03-07,561.0,565.0,561.0,565.0,565.0,60.0,0.34
